cpd,ma
C00001,1.0
C00002,20.0
C00003,32.0
C00004,30.0
C00005,31.0
C00006,33.0
C00007,4.0
C00008,18.0
C00009,3.0
C00010,40.0
C00011,1.0
C00013,4.0
C00014,1.0
C00015,16.0
C00016,13.0
C00017,6.0
C00018,22.0
C00019,20.0
C00020,17.0
C00021,19.0
C00022,3.0
C00024,36.0
C00025,5.0
C00026,5.0
C00027,0.0
C00028,NaN
C00029,23.0
C00030,NaN
C00031,6.0
C00033,2.0
C00035,19.0
C00036,4.0
C00037,3.0
C00039,18.0
C00040,37.0
C00041,4.0
C00042,4.0
C00043,25.0
C00044,20.0
C00046,23.0
C00047,6.0
C00048,3.0
C00049,5.0
C00051,11.0
C00052,23.0
C00053,22.0
C00054,18.0
C00055,17.0
C00058,1.0
C00059,2.0
C00060,2.0
C00061,18.0
C00062,9.0
C00063,20.0
C00064,6.0
C00065,4.0
C00066,17.0
C00068,18.0
C00069,0.0
C00071,1.0
C00072,7.0
C00073,7.0
C00074,8.0
C00075,18.0
C00077,6.0
C00078,11.0
C00079,9.0
C00080,1.0
C00081,20.0
C00082,9.0
C00083,39.0
C00084,1.0
C00085,10.0
C00091,39.0
C00092,10.0
C00093,7.0
C00094,2.0
C00097,5.0
C00099,4.0
C00100,38.0
C00101,20.0
C00103,10.0
C00104,19.0
C00105,15.0
C00106,5.0
C00109,4.0
C00111,7.0
C00112,18.0
C00114,4.0
C00116,3.0
C00117,9.0
C00118,7.0
C00119,10.0
C00120,11.0
C00121,5.0
C00122,4.0
C00123,6.0
C00129,9.0
C00130,17.0
C00131,19.0
C00133,4.0
C00134,3.0
C00135,9.0
C00136,37.0
C00137,4.0
C00138,NaN
C00139,NaN
C00140,9.0
C00141,5.0
C00143,22.0
C00144,18.0
C00145,0.0
C00147,7.0
C00148,6.0
C00152,6.0
C00153,7.0
C00155,6.0
C00160,3.0
C00161,4.0
C00162,2.0
C00163,3.0
C00168,4.0
C00169,6.0
C00170,14.0
C00173,5.0
C00178,6.0
C00179,6.0
C00180,6.0
C00183,5.0
C00188,5.0
C00189,2.0
C00197,8.0
C00199,9.0
C00201,11.0
C00203,26.0
C00206,18.0
C00208,7.0
C00212,13.0
C00214,12.0
C00217,5.0
C00221,6.0
C00222,3.0
C00224,20.0
C00226,1.0
C00227,6.0
C00229,0.0
C00231,9.0
C00232,4.0
C00233,6.0
C00234,22.0
C00235,9.0
C00236,8.0
C00237,0.0
C00239,17.0
C00240,21.0
C00241,2.0
C00242,8.0
C00246,4.0
C00248,8.0
C00253,7.0
C00255,19.0
C00256,3.0
C00258,4.0
C00262,7.0
C00263,5.0
C00266,2.0
C00267,6.0
C00279,8.0
C00282,1.0
C00283,1.0
C00286,21.0
C00288,2.0
C00294,13.0
C00299,11.0
C00300,7.0
C00301,23.0
C00310,5.0
C00315,5.0
C00320,3.0
C00327,9.0
C00330,14.0
C00331,10.0
C00334,5.0
C00340,4.0
C00341,11.0
C00342,12.0
C00343,13.0
C00352,10.0
C00353,15.0
C00354,10.0
C00357,13.0
C00360,17.0
C00361,19.0
C00362,18.0
C00363,17.0
C00364,16.0
C00365,15.0
C00366,7.0
C00369,9.0
C00376,10.0
C00378,13.0
C00380,7.0
C00385,8.0
C00387,5.0
C00390,11.0
C00396,4.0
C00399,11.0
C00407,6.0
C00415,22.0
C00416,10.0
C00418,5.0
C00424,3.0
C00429,5.0
C00431,5.0
C00435,6.0
C00439,7.0
C00441,5.0
C00445,21.0
C00446,10.0
C00447,10.0
C00448,12.0
